cast_id,character,credit_id,gender,id,name,order
3,Neytiri,52fe48009251416c750ac9cb,1,8691,Zoe Saldana,1
25,Dr. Grace Augustine,52fe48009251416c750aca39,1,10205,Sigourney Weaver,2
4,Col. Quaritch,52fe48009251416c750ac9cf,2,32747,Stephen Lang,3
5,Trudy Chacon,52fe48009251416c750ac9d3,1,17647,Michelle Rodriguez,4
8,Selfridge,52fe48009251416c750ac9e1,2,1771,Giovanni Ribisi,5
4,Captain Jack Sparrow,52fe4232c3a36847f800b50d,2,85,Johnny Depp,0
5,Will Turner,52fe4232c3a36847f800b511,2,114,Orlando Bloom,1
6,Elizabeth Swann,52fe4232c3a36847f800b515,1,116,Keira Knightley,2
12,"William \""Bootstrap Bill\"" Turner",52fe4232c3a36847f800b52d,2,1640,Stellan Skarsg\u00e5rd,3
10,Captain Sao Feng,52fe4232c3a36847f800b525,2,1619,Chow Yun-fat,4
9,Captain Davy Jones,52fe4232c3a36847f800b521,2,2440,Bill Nighy,5
1,James Bond,52fe4d22c3a368484e1d8d6b,2,8784,Daniel Craig,0
14,Blofeld,54805866c3a36829ab002592,2,27319,Christoph Waltz,1
13,Madeleine,546f934fc3a3682f9a002ca5,1,121529,L\u00e9a Seydoux,2
10,M,53e86503c3a368399c0031f0,2,5469,Ralph Fiennes,3
17,Lucia,54805920c3a36829ae0022c5,1,28782,Monica Bellucci,4
8,Q,52fe4d22c3a368484e1d8d87,2,17064,Ben Whishaw,5
2,Bruce Wayne / Batman,52fe4781c3a36847f8139869,2,3894,Christian Bale,0
8,Alfred Pennyworth,52fe4781c3a36847f8139881,2,3895,Michael Caine,1
5,James Gordon,52fe4781c3a36847f8139875,2,64,Gary Oldman,2
3,Selina Kyle / Catwoman,52fe4781c3a36847f813986d,1,1813,Anne Hathaway,3
4,Bane,52fe4781c3a36847f8139871,2,2524,Tom Hardy,4
15,Miranda Tate,52fe4781c3a36847f813988d,1,8293,Marion Cotillard,5
5,John Carter,52fe479ac3a36847f813ea75,2,60900,Taylor Kitsch,0
20,Dejah Thoris,52fe479ac3a36847f813eab3,1,21044,Lynn Collins,1
7,Sola,52fe479ac3a36847f813ea79,1,2206,Samantha Morton,2
3,Tars Tarkas,52fe479ac3a36847f813ea6d,2,5293,Willem Dafoe,3
8,Tal Hajus,52fe479ac3a36847f813ea7d,2,19159,Thomas Haden Church,4
2,Matai Shang,52fe479ac3a36847f813ea69,2,2983,Mark Strong,5
30,Peter Parker / Spider-Man,52fe4252c3a36847f80151c7,2,2219,Tobey Maguire,0
7,Mary Jane Watson,52fe4252c3a36847f801514f,1,205,Kirsten Dunst,1
35,Harry Osborn / New Goblin,52fe4252c3a36847f80151db,2,17051,James Franco,2
37,Eddie Brock / Venom,52fe4252c3a36847f80151e3,2,17052,Topher Grace,4
8,Gwen Stacey,52fe4252c3a36847f8015153,1,18997,Bryce Dallas Howard,5
34,Flynn Rider (voice),530d35bf9251411435001765,2,69899,Zachary Levi,0
33,Rapunzel (voice),530d35a2925141141e0017ff,1,16855,Mandy Moore,1
35,Mother Gothel (voice),530d35d4925141141e001802,1,2517,Donna Murphy,2
36,Stabbington Brother (voice),530d35e59251411421001835,2,2372,Ron Perlman,3
70,Captain of the Guard (voice),53254b82c3a36824b500886a,2,22132,M.C. Gainey,4
38,Big Nose Thug (voice),530d3624925141142400188e,2,4175,Jeffrey Tambor,5
76,Tony Stark / Iron Man,55e256d292514162cd000e40,2,3223,Robert Downey Jr.,0
8,Thor Odinson,52fe4a449251416c750e3455,2,74568,Chris Hemsworth,1
15,Bruce Banner / Hulk,52fe4a449251416c750e3471,2,103,Mark Ruffalo,2
12,Steve Rogers / Captain America,52fe4a449251416c750e3465,2,16828,Chris Evans,3
10,Natasha Romanoff / Black Widow,52fe4a449251416c750e345d,1,1245,Scarlett Johansson,4
11,Clint Barton / Hawkeye,52fe4a449251416c750e3461,2,17604,Jeremy Renner,5
3,Harry Potter,52fe4273c3a36847f801fa73,2,10980,Daniel Radcliffe,0
2,Ron Weasley,52fe4273c3a36847f801fa6f,2,10989,Rupert Grint,1
1,Hermione Granger,52fe4273c3a36847f801fa6b,1,10990,Emma Watson,2
4,Draco Malfoy,52fe4273c3a36847f801fa77,2,10993,Tom Felton,3
30,Albus Dumbledore,52fe4273c3a36847f801fb09,2,5658,Michael Gambon,4
27,Horace Slughorn,52fe4273c3a36847f801fafd,2,388,Jim Broadbent,5
18,Bruce Wayne / Batman,52fe4d5bc3a368484e1e4c65,2,880,Ben Affleck,0
14,Clark Kent / Superman,52fe4d5bc3a368484e1e4c55,2,73968,Henry Cavill,1
19,Diana Prince / Wonder Woman,52fe4d5bc3a368484e1e4c69,1,90633,Gal Gadot,2
15,Lois Lane,52fe4d5bc3a368484e1e4c59,1,9273,Amy Adams,3
22,Lex Luthor,52fe4d5bc3a368484e1e4c79,2,44735,Jesse Eisenberg,4
17,Martha Kent,52fe4d5bc3a368484e1e4c61,1,2882,Diane Lane,5
3,Superman / Clark Kent,52fe42f8c3a36847f8030b65,2,17271,Brandon Routh,0
1,Lex Luthor,52fe42f8c3a36847f8030b61,2,1979,Kevin Spacey,1
4,Lois Lane,52fe42f8c3a36847f8030b69,1,7517,Kate Bosworth,2
10,Richard White,52fe42f8c3a36847f8030b8b,2,11006,James Marsden,3
11,Kitty Kowalski,52fe42f8c3a36847f8030b8f,1,7489,Parker Posey,4
12,Perry White,52fe42f8c3a36847f8030b93,2,8924,Frank Langella,5
