movieid,movieName,releaseDate,rating,popularity
19995,Avatar,12/10/09,7.2,150.437577
285,Pirates of the Caribbean: At World's End,5/19/07,6.9,139.082615
206647,Spectre,10/26/15,6.3,107.376788
49026,The Dark Knight Rises,7/16/12,7.6,112.31295
49529,John Carter,3/7/12,6.1,43.926995
559,Spider-Man 3,5/1/07,5.9,115.699814
38757,Tangled,11/24/10,7.4,48.681969
99861,Avengers: Age of Ultron,4/22/15,7.3,134.279229
767,Harry Potter and the Half-Blood Prince,7/7/09,7.4,98.885637
209112,Batman v Superman: Dawn of Justice,3/23/16,5.7,155.790452
1452,Superman Returns,6/28/06,5.4,57.925623
10764,Quantum of Solace,10/30/08,6.1,107.928811
58,Pirates of the Caribbean: Dead Man's Chest,6/20/06,7,145.847379
57201,The Lone Ranger,7/3/13,5.9,49.046956
49521,Man of Steel,6/12/13,6.5,99.398009
2454,The Chronicles of Narnia: Prince Caspian,5/15/08,6.3,53.978602
24428,The Avengers,4/25/12,7.4,144.448633
1865,Pirates of the Caribbean: On Stranger Tides,5/14/11,6.4,135.413856
41154,Men in Black 3,5/23/12,6.2,52.035179
122917,The Hobbit: The Battle of the Five Armies,12/10/14,7.1,120.965743
1930,The Amazing Spider-Man,6/27/12,6.5,89.866276
20662,Robin Hood,5/12/10,6.2,37.668301
57158,The Hobbit: The Desolation of Smaug,12/11/13,7.6,94.370564
2268,The Golden Compass,12/4/07,5.8,42.990906
254,King Kong,12/14/05,6.6,61.22601
597,Titanic,11/18/97,7.5,100.025899
271110,Captain America: Civil War,4/27/16,7.1,198.372395
44833,Battleship,4/11/12,5.5,64.928382
135397,Jurassic World,6/9/15,6.5,418.708552
37724,Skyfall,10/25/12,6.9,93.004993
558,Spider-Man 2,6/25/04,6.7,35.149586
68721,Iron Man 3,4/18/13,6.8,77.68208
12155,Alice in Wonderland,3/3/10,6.4,78.530105
36668,X-Men: The Last Stand,5/24/06,6.3,3.857526
62211,Monsters University,6/20/13,7,89.186492
8373,Transformers: Revenge of the Fallen,6/19/09,6,21.939663
91314,Transformers: Age of Extinction,6/25/14,5.8,116.840296
68728,Oz: The Great and Powerful,3/7/13,5.7,46.985445
102382,The Amazing Spider-Man 2,4/16/14,6.5,89.270217
20526,TRON: Legacy,12/10/10,6.3,73.79505
49013,Cars 2,6/11/11,5.8,49.98659
44912,Green Lantern,6/16/11,5.1,51.872839
10193,Toy Story 3,6/16/10,7.6,59.995418
534,Terminator Salvation,5/20/09,5.9,71.862892
168259,Furious 7,4/1/15,7.3,102.322217
72190,World War Z,6/20/13,6.7,81.834855
127585,X-Men: Days of Future Past,5/15/14,7.5,118.078691
54138,Star Trek Into Darkness,5/5/13,7.4,78.291018
81005,Jack the Giant Slayer,2/27/13,5.5,43.349855
64682,The Great Gatsby,5/10/13,7.3,61.196071
9543,Prince of Persia: The Sands of Time,5/19/10,6.2,62.169881
68726,Pacific Rim,7/11/13,6.7,56.523205
38356,Transformers: Dark of the Moon,6/28/11,6.1,28.529607
217,Indiana Jones and the Kingdom of the Crystal Skull,5/21/08,5.7,75.674458
105864,The Good Dinosaur,11/14/15,6.6,51.692953
62177,Brave,6/21/12,6.7,125.114374
188927,Star Trek Beyond,7/7/16,6.6,65.352913
10681,WALL·E,6/22/08,7.8,66.390712
5174,Rush Hour 3,8/8/07,6.1,22.57178
14161,2012,10/10/09,5.6,45.274225
17979,A Christmas Carol,11/4/09,6.6,39.744242
76757,Jupiter Ascending,2/4/15,5.2,85.36908
258489,The Legend of Tarzan,6/29/16,5.5,42.741719
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/7/05,6.7,67.391328
246655,X-Men: Apocalypse,5/18/16,6.4,139.272042
155,The Dark Knight,7/16/08,8.2,187.322927
14160,Up,5/13/09,7.7,92.201962
15512,Monsters vs Aliens,3/19/09,6,36.167578
1726,Iron Man,4/30/08,7.4,120.725053
44826,Hugo,11/22/11,7,32.319043
8487,Wild Wild West,6/29/99,5.1,40.748915
1735,The Mummy: Tomb of the Dragon Emperor,7/1/08,5.2,60.034162
297761,Suicide Squad,8/2/16,5.9,90.23792
2698,Evan Almighty,6/9/07,5.3,27.082182
137113,Edge of Tomorrow,5/27/14,7.6,79.456485
9804,Waterworld,7/28/95,5.9,44.640292
14869,G.I. Joe: The Rise of Cobra,8/4/09,5.6,32.852443
150540,Inside Out,6/9/15,8,128.655964
278927,The Jungle Book,4/7/16,6.7,94.199316
10138,Iron Man 2,4/28/10,6.6,77.300194
58595,Snow White and the Huntsman,5/30/12,5.8,77.178973
102651,Maleficent,5/28/14,7,110.620647
119450,Dawn of the Planet of the Apes,6/26/14,7.3,243.791743
79698,The Lovers,2/13/15,4.8,2.418535
64686,47 Ronin,12/6/13,5.9,41.796339
100402,Captain America: The Winter Soldier,3/20/14,7.6,72.225265
10192,Shrek Forever After,5/16/10,6,44.041186
158852,Tomorrowland,5/19/15,6.2,130.311355
177572,Big Hero 6,10/24/14,7.8,203.73459
82690,Wreck-It Ralph,11/1/12,7.1,62.341073
5255,The Polar Express,11/10/04,6.4,47.323228
47933,Independence Day: Resurgence,6/22/16,4.9,48.775723
10191,How to Train Your Dragon,3/5/10,7.5,67.263269
296,Terminator 3: Rise of the Machines,7/2/03,5.9,69.405188
118340,Guardians of the Galaxy,7/30/14,7.9,481.098624
157336,Interstellar,11/5/14,8.1,724.247784
27205,Inception,7/14/10,8.1,167.58371
315011,シン・ゴジラ,7/29/16,6.5,9.476999
49051,The Hobbit: An Unexpected Journey,11/26/12,7,108.849621
9799,The Fast and the Furious,6/22/01,6.6,6.909942
