cast_id,character,credit_id,gender,id,name,order,movieid
242,Jake Sully,5602a8a7c3a3685532001c9a,2,65731,Sam Worthington,0,19995
3,Neytiri,52fe48009251416c750ac9cb,1,8691,Zoe Saldana,1,19995
25,Dr. Grace Augustine,52fe48009251416c750aca39,1,10205,Sigourney Weaver,2,19995
4,Col. Quaritch,52fe48009251416c750ac9cf,2,32747,Stephen Lang,3,19995
5,Trudy Chacon,52fe48009251416c750ac9d3,1,17647,Michelle Rodriguez,4,19995
8,Selfridge,52fe48009251416c750ac9e1,2,1771,Giovanni Ribisi,5,19995
4,Captain Jack Sparrow,52fe4232c3a36847f800b50d,2,85,Johnny Depp,0,285
5,Will Turner,52fe4232c3a36847f800b511,2,114,Orlando Bloom,1,285
6,Elizabeth Swann,52fe4232c3a36847f800b515,1,116,Keira Knightley,2,285
12,"William \""Bootstrap Bill\"" Turner",52fe4232c3a36847f800b52d,2,1640,Stellan Skarsg\u00e5rd,3,285
10,Captain Sao Feng,52fe4232c3a36847f800b525,2,1619,Chow Yun-fat,4,285
9,Captain Davy Jones,52fe4232c3a36847f800b521,2,2440,Bill Nighy,5,285
1,James Bond,52fe4d22c3a368484e1d8d6b,2,8784,Daniel Craig,0,206647
14,Blofeld,54805866c3a36829ab002592,2,27319,Christoph Waltz,1,206647
13,Madeleine,546f934fc3a3682f9a002ca5,1,121529,L\u00e9a Seydoux,2,206647
10,M,53e86503c3a368399c0031f0,2,5469,Ralph Fiennes,3,206647
17,Lucia,54805920c3a36829ae0022c5,1,28782,Monica Bellucci,4,206647
8,Q,52fe4d22c3a368484e1d8d87,2,17064,Ben Whishaw,5,206647
2,Bruce Wayne / Batman,52fe4781c3a36847f8139869,2,3894,Christian Bale,0,49026
8,Alfred Pennyworth,52fe4781c3a36847f8139881,2,3895,Michael Caine,1,49026
5,James Gordon,52fe4781c3a36847f8139875,2,64,Gary Oldman,2,49026
3,Selina Kyle / Catwoman,52fe4781c3a36847f813986d,1,1813,Anne Hathaway,3,49026
4,Bane,52fe4781c3a36847f8139871,2,2524,Tom Hardy,4,49026
15,Miranda Tate,52fe4781c3a36847f813988d,1,8293,Marion Cotillard,5,49026
5,John Carter,52fe479ac3a36847f813ea75,2,60900,Taylor Kitsch,0,49529
20,Dejah Thoris,52fe479ac3a36847f813eab3,1,21044,Lynn Collins,1,49529
7,Sola,52fe479ac3a36847f813ea79,1,2206,Samantha Morton,2,49529
3,Tars Tarkas,52fe479ac3a36847f813ea6d,2,5293,Willem Dafoe,3,49529
8,Tal Hajus,52fe479ac3a36847f813ea7d,2,19159,Thomas Haden Church,4,49529
2,Matai Shang,52fe479ac3a36847f813ea69,2,2983,Mark Strong,5,49529
30,Peter Parker / Spider-Man,52fe4252c3a36847f80151c7,2,2219,Tobey Maguire,0,559
7,Mary Jane Watson,52fe4252c3a36847f801514f,1,205,Kirsten Dunst,1,559
35,Harry Osborn / New Goblin,52fe4252c3a36847f80151db,2,17051,James Franco,2,559
36,Flint Marko / Sandman,52fe4252c3a36847f80151df,2,19159,Thomas Haden Church,3,559
37,Eddie Brock / Venom,52fe4252c3a36847f80151e3,2,17052,Topher Grace,4,559
8,Gwen Stacey,52fe4252c3a36847f8015153,1,18997,Bryce Dallas Howard,5,559
34,Flynn Rider (voice),530d35bf9251411435001765,2,69899,Zachary Levi,0,38757
33,Rapunzel (voice),530d35a2925141141e0017ff,1,16855,Mandy Moore,1,38757
35,Mother Gothel (voice),530d35d4925141141e001802,1,2517,Donna Murphy,2,38757
36,Stabbington Brother (voice),530d35e59251411421001835,2,2372,Ron Perlman,3,38757
70,Captain of the Guard (voice),53254b82c3a36824b500886a,2,22132,M.C. Gainey,4,38757
38,Big Nose Thug (voice),530d3624925141142400188e,2,4175,Jeffrey Tambor,5,38757
76,Tony Stark / Iron Man,55e256d292514162cd000e40,2,3223,Robert Downey Jr.,0,99861
8,Thor Odinson,52fe4a449251416c750e3455,2,74568,Chris Hemsworth,1,99861
15,Bruce Banner / Hulk,52fe4a449251416c750e3471,2,103,Mark Ruffalo,2,99861
12,Steve Rogers / Captain America,52fe4a449251416c750e3465,2,16828,Chris Evans,3,99861
10,Natasha Romanoff / Black Widow,52fe4a449251416c750e345d,1,1245,Scarlett Johansson,4,99861
11,Clint Barton / Hawkeye,52fe4a449251416c750e3461,2,17604,Jeremy Renner,5,99861
3,Harry Potter,52fe4273c3a36847f801fa73,2,10980,Daniel Radcliffe,0,767
2,Ron Weasley,52fe4273c3a36847f801fa6f,2,10989,Rupert Grint,1,767
1,Hermione Granger,52fe4273c3a36847f801fa6b,1,10990,Emma Watson,2,767
4,Draco Malfoy,52fe4273c3a36847f801fa77,2,10993,Tom Felton,3,767
30,Albus Dumbledore,52fe4273c3a36847f801fb09,2,5658,Michael Gambon,4,767
27,Horace Slughorn,52fe4273c3a36847f801fafd,2,388,Jim Broadbent,5,767
18,Bruce Wayne / Batman,52fe4d5bc3a368484e1e4c65,2,880,Ben Affleck,0,209112
14,Clark Kent / Superman,52fe4d5bc3a368484e1e4c55,2,73968,Henry Cavill,1,209112
19,Diana Prince / Wonder Woman,52fe4d5bc3a368484e1e4c69,1,90633,Gal Gadot,2,209112
15,Lois Lane,52fe4d5bc3a368484e1e4c59,1,9273,Amy Adams,3,209112
22,Lex Luthor,52fe4d5bc3a368484e1e4c79,2,44735,Jesse Eisenberg,4,209112
17,Martha Kent,52fe4d5bc3a368484e1e4c61,1,2882,Diane Lane,5,209112
3,Superman / Clark Kent,52fe42f8c3a36847f8030b65,2,17271,Brandon Routh,0,1452
1,Lex Luthor,52fe42f8c3a36847f8030b61,2,1979,Kevin Spacey,1,1452
4,Lois Lane,52fe42f8c3a36847f8030b69,1,7517,Kate Bosworth,2,1452
10,Richard White,52fe42f8c3a36847f8030b8b,2,11006,James Marsden,3,1452
11,Kitty Kowalski,52fe42f8c3a36847f8030b8f,1,7489,Parker Posey,4,1452
12,Perry White,52fe42f8c3a36847f8030b93,2,8924,Frank Langella,5,1452
1,James Bond,52fe43b29251416c7501aa5d,2,8784,Daniel Craig,0,10764
17,Camille Montes,52fe43b29251416c7501aab5,1,18182,Olga Kurylenko,1,10764
18,Dominic Greene,52fe43b29251416c7501aab9,2,8789,Mathieu Amalric,2,10764
19,M,52fe43b29251416c7501aabd,1,5309,Judi Dench,3,10764
20,Ren\u00e9 Mathis,52fe43b29251416c7501aac1,2,3753,Giancarlo Giannini,4,10764
21,Strawberry Fields,52fe43b39251416c7501aac5,1,59620,Gemma Arterton,5,10764
37,Captain Jack Sparrow,52fe4212c3a36847f80018c3,2,85,Johnny Depp,0,58
3,Will Turner,52fe4211c3a36847f8001823,2,114,Orlando Bloom,1,58
2,Elizabeth Swann,52fe4211c3a36847f800181f,1,116,Keira Knightley,2,58
7,"William \""Bootstrap Bill\"" Turner",52fe4211c3a36847f8001835,2,1640,Stellan Skarsg\u00e5rd,3,58
6,Captain Davy Jones,52fe4211c3a36847f8001831,2,2440,Bill Nighy,4,58
4,James Norrington,52fe4211c3a36847f8001827,2,1709,Jack Davenport,5,58
4,Tonto,52fe4928c3a36847f818be99,2,85,Johnny Depp,0,57201
5,John Reid / The Lone Ranger,52fe4928c3a36847f818be9d,2,53807,Armie Hammer,1,57201
9,Butch Cavendish,52fe4928c3a36847f818bead,2,886,William Fichtner,2,57201
8,Red Harrington,52fe4928c3a36847f818bea9,1,1283,Helena Bonham Carter,3,57201
6,Dan Reid,52fe4928c3a36847f818bea1,2,18473,James Badge Dale,4,57201
7,Latham Cole,52fe4928c3a36847f818bea5,2,207,Tom Wilkinson,5,57201
2,Clark Kent / Kal-El,52fe4799c3a36847f813e605,2,73968,Henry Cavill,0,49521
3,Lois Lane,52fe4799c3a36847f813e609,1,9273,Amy Adams,1,49521
9,General Zod,52fe4799c3a36847f813e61b,2,335,Michael Shannon,2,49521
10,Jonathan Kent,52fe4799c3a36847f813e61f,2,1269,Kevin Costner,3,49521
4,Martha Kent,52fe4799c3a36847f813e60d,1,2882,Diane Lane,4,49521
8,Jor-El,52fe4799c3a36847f813e617,2,934,Russell Crowe,5,49521
1,Prince Caspian,52fe4358c3a36847f804d6ad,2,25130,Ben Barnes,0,2454
3,Peter Pevensie,52fe4358c3a36847f804d6b5,2,5528,William Moseley,1,2454
4,Susan Pevensie,52fe4358c3a36847f804d6b9,1,5529,Anna Popplewell,2,2454
36,Edmund Pevensie,52fe4359c3a36847f804d757,2,5527,Skandar Keynes,3,2454
2,Lucy Pevensie,52fe4358c3a36847f804d6b1,1,5526,Georgie Henley,4,2454
5,King Miraz,52fe4358c3a36847f804d6bd,2,2166,Sergio Castellitto,5,2454
46,Tony Stark / Iron Man,52fe4495c3a368484e02b251,2,3223,Robert Downey Jr.,0,24428
2,Steve Rogers / Captain America,52fe4495c3a368484e02b19b,2,16828,Chris Evans,1,24428
32,Bruce Banner / The Hulk,52fe4495c3a368484e02b221,2,103,Mark Ruffalo,2,24428
4,Thor Odinson,52fe4495c3a368484e02b1a5,2,74568,Chris Hemsworth,3,24428
34,Natasha Romanoff / Black Widow,52fe4495c3a368484e02b229,1,1245,Scarlett Johansson,4,24428
33,Clint Barton / Hawkeye,52fe4495c3a368484e02b225,2,17604,Jeremy Renner,5,24428
