id,name,movieid
28,Action,19995
12,Adventure,19995
14,Fantasy,19995
878,Science Fiction,19995
12,Adventure,285
14,Fantasy,285
28,Action,285
28,Action,206647
12,Adventure,206647
80,Crime,206647
28,Action,49026
80,Crime,49026
18,Drama,49026
53,Thriller,49026
28,Action,49529
12,Adventure,49529
878,Science Fiction,49529
14,Fantasy,559
28,Action,559
12,Adventure,559
16,Animation,38757
10751,Family,38757
28,Action,99861
12,Adventure,99861
878,Science Fiction,99861
12,Adventure,767
14,Fantasy,767
10751,Family,767
28,Action,209112
12,Adventure,209112
14,Fantasy,209112
12,Adventure,1452
14,Fantasy,1452
28,Action,1452
878,Science Fiction,1452
12,Adventure,10764
28,Action,10764
53,Thriller,10764
80,Crime,10764
12,Adventure,58
14,Fantasy,58
28,Action,58
28,Action,57201
12,Adventure,57201
37,Western,57201
28,Action,49521
12,Adventure,49521
14,Fantasy,49521
878,Science Fiction,49521
12,Adventure,2454
10751,Family,2454
14,Fantasy,2454
878,Science Fiction,24428
28,Action,24428
12,Adventure,24428
12,Adventure,1865
28,Action,1865
14,Fantasy,1865
28,Action,41154
35,Comedy,41154
878,Science Fiction,41154
28,Action,122917
12,Adventure,122917
14,Fantasy,122917
28,Action,1930
12,Adventure,1930
14,Fantasy,1930
28,Action,20662
12,Adventure,20662
12,Adventure,57158
14,Fantasy,57158
12,Adventure,2268
14,Fantasy,2268
12,Adventure,254
18,Drama,254
28,Action,254
18,Drama,597
10749,Romance,597
53,Thriller,597
12,Adventure,271110
28,Action,271110
878,Science Fiction,271110
53,Thriller,44833
28,Action,44833
12,Adventure,44833
878,Science Fiction,44833
28,Action,135397
12,Adventure,135397
878,Science Fiction,135397
53,Thriller,135397
28,Action,37724
12,Adventure,37724
53,Thriller,37724
28,Action,558
12,Adventure,558
14,Fantasy,558
28,Action,68721
12,Adventure,68721
878,Science Fiction,68721
10751,Family,12155
14,Fantasy,12155
12,Adventure,12155
12,Adventure,36668
28,Action,36668
878,Science Fiction,36668
53,Thriller,36668
16,Animation,62211
10751,Family,62211
878,Science Fiction,8373
28,Action,8373
12,Adventure,8373
878,Science Fiction,91314
28,Action,91314
12,Adventure,91314
14,Fantasy,68728
12,Adventure,68728
10751,Family,68728
28,Action,102382
12,Adventure,102382
14,Fantasy,102382
12,Adventure,20526
28,Action,20526
878,Science Fiction,20526
16,Animation,49013
10751,Family,49013
12,Adventure,49013
35,Comedy,49013
12,Adventure,44912
28,Action,44912
53,Thriller,44912
878,Science Fiction,44912
16,Animation,10193
10751,Family,10193
35,Comedy,10193
28,Action,534
878,Science Fiction,534
53,Thriller,534
28,Action,168259
28,Action,72190
18,Drama,72190
27,Horror,72190
878,Science Fiction,72190
53,Thriller,72190
28,Action,127585
12,Adventure,127585
14,Fantasy,127585
878,Science Fiction,127585
28,Action,54138
12,Adventure,54138
878,Science Fiction,54138
28,Action,81005
10751,Family,81005
14,Fantasy,81005
18,Drama,64682
10749,Romance,64682
12,Adventure,9543
14,Fantasy,9543
28,Action,9543
10749,Romance,9543
28,Action,68726
878,Science Fiction,68726
12,Adventure,68726
28,Action,38356
878,Science Fiction,38356
12,Adventure,38356
12,Adventure,217
28,Action,217
12,Adventure,105864
16,Animation,105864
10751,Family,105864
16,Animation,62177
12,Adventure,62177
35,Comedy,62177
10751,Family,62177
28,Action,62177
14,Fantasy,62177
28,Action,188927
12,Adventure,188927
878,Science Fiction,188927
16,Animation,10681
10751,Family,10681
28,Action,5174
35,Comedy,5174
80,Crime,5174
53,Thriller,5174
28,Action,14161
12,Adventure,14161
878,Science Fiction,14161
16,Animation,17979
18,Drama,17979
878,Science Fiction,76757
14,Fantasy,76757
28,Action,76757
12,Adventure,76757
28,Action,258489
12,Adventure,258489
12,Adventure,411
10751,Family,411
14,Fantasy,411
878,Science Fiction,246655
18,Drama,155
28,Action,155
80,Crime,155
53,Thriller,155
16,Animation,14160
35,Comedy,14160
10751,Family,14160
12,Adventure,14160
16,Animation,15512
10751,Family,15512
12,Adventure,15512
878,Science Fiction,15512
28,Action,1726
878,Science Fiction,1726
12,Adventure,1726
12,Adventure,44826
18,Drama,44826
10751,Family,44826
28,Action,8487
12,Adventure,8487
35,Comedy,8487
878,Science Fiction,8487
37,Western,8487
12,Adventure,1735
28,Action,1735
14,Fantasy,1735
28,Action,297761
12,Adventure,297761
80,Crime,297761
14,Fantasy,297761
878,Science Fiction,297761
14,Fantasy,2698
35,Comedy,2698
10751,Family,2698
28,Action,137113
878,Science Fiction,137113
12,Adventure,9804
28,Action,9804
12,Adventure,14869
28,Action,14869
53,Thriller,14869
878,Science Fiction,14869
18,Drama,150540
35,Comedy,150540
16,Animation,150540
10751,Family,150540
10751,Family,278927
12,Adventure,278927
18,Drama,278927
14,Fantasy,278927
12,Adventure,10138
28,Action,10138
878,Science Fiction,10138
12,Adventure,58595
14,Fantasy,58595
18,Drama,58595
14,Fantasy,102651
12,Adventure,102651
28,Action,102651
10751,Family,102651
10749,Romance,102651
878,Science Fiction,119450
28,Action,119450
18,Drama,119450
53,Thriller,119450
28,Action,79698
12,Adventure,79698
878,Science Fiction,79698
10749,Romance,79698
18,Drama,64686
28,Action,64686
12,Adventure,64686
14,Fantasy,64686
28,Action,100402
12,Adventure,100402
878,Science Fiction,100402
35,Comedy,10192
12,Adventure,10192
14,Fantasy,10192
16,Animation,10192
10751,Family,10192
12,Adventure,158852
10751,Family,158852
9648,Mystery,158852
878,Science Fiction,158852
12,Adventure,177572
10751,Family,177572
16,Animation,177572
28,Action,177572
35,Comedy,177572
10751,Family,82690
16,Animation,82690
