"Name";"Area"
"A Chaw";0
"Adams Island";103
"Africa";11730000
"Alexander Island";18946
"Amantani";4
"Antarctica";5400000
"Asia";17212000
"Astola Island";3
"Australia";3300000
"Baengnyeongdo";20
"Barrow Island";78
"Belkovsky Island";193
"Capri";4
"Cousin Island";0
"Crete";3219
"Dangar";0
"Euboea";1417
"Europe";3930000
"Fogo";184
"Fregate Island";1
"Greenland";836300
"Guadalupe Island";94
"Hawai'i";4028
"Ireland";32595
"Isla de la Luna";0
"Isla de Lobos";0
"Isla de los Estados";206
"Ithaca";37
"Jejudo";708
"King George Island";444
"Kings Island";424
"Larak Island";19
"Long Island";1401
"Madagascar";226658
"Mahe";61
"Marion Island";112
"North America";9540000
"Prince Edward Island";17
"Puerto Rico";3363
"Rocas Atoll";0
"Snake Island";14
"South America";6890000
"Sturge Island";169
"Tasmania";25881
"Unguja";643
