"Name";"area"
"A Chaw";0.0135
"Adams Island";103.0
"Alexander Island";18946.0
"Amantani";3.58
"Astola Island";2.6
"Baengnyeongdo";19.724
"Barrow Island";78.0
"Belkovsky Island";193.0
"Capri";4.0
"Cousin Island";0.13
"Crete";3219.0
"Dangar";0.1
"Euboea";1417.0
"Fogo";184.0
"Fregate Island";0.8
"Greenland";836300.0
"Guadalupe Island";94.204
"Hawai'i";4028.0
"Ireland";32595.0
"Isla de la Luna";0.41
"Isla de Lobos";0.168
"Isla de los Estados";206.0
"Ithaca";37.1
"Jejudo";707.787
"King George Island";444.0
"Kings Island";424.0
"Larak Island";19.0
"Long Island";1401.0
"Madagascar";226658.0
"Mahe";60.7
"Marion Island";112.0
"Prince Edward Island";17.0
"Puerto Rico";3363.0
"Rocas Atoll";0.14
"Snake Island";14.0
"Sturge Island";168.8
"Tasmania";25881.0
"Unguja";643.0
